1272-128104-0000	MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
1462-170145-0001	OVER THE FIREPLACE THERE WAS A LARGE OLD FASHIONED GILT MIRROR
1462-170145-0002	HE ROSE AND CROSSED THE ROOM QUICKLY
1462-170145-0003	OF COURSE I KNOW BARTLEY SHE SAID AT LAST THAT AFTER THIS YOU WON'T OWE ME THE LEAST CONSIDERATION BUT WE SAIL ON TUESDAY
1462-170145-0004	I SAW THAT INTERVIEW IN THE PAPER YESTERDAY TELLING WHERE YOU WERE AND I THOUGHT I HAD TO SEE YOU THAT'S ALL GOOD NIGHT I'M GOING NOW
1462-170145-0005	LET ME TAKE OFF YOUR COAT AND YOUR BOOTS THEY'RE OOZING WATER
1462-170145-0006	IF YOU'D SENT ME A NOTE OR TELEPHONED ME OR ANYTHING
1462-170145-0007	I TOLD MYSELF THAT IF I WERE REALLY THINKING OF YOU AND NOT OF MYSELF A LETTER WOULD BE BETTER THAN NOTHING
1462-170145-0008	HE PAUSED THEY NEVER DID TO ME
1462-170145-0009	OH BARTLEY DID YOU WRITE TO ME
1462-170145-0010	ALEXANDER SLIPPED HIS ARM ABOUT HER
1462-170145-0011	I THINK I HAVE FELT THAT YOU WERE COMING
1462-170145-0012	HE BENT HIS FACE OVER HER HAIR
1462-170145-0013	AND I SHE WHISPERED I FELT THAT YOU WERE FEELING THAT
1462-170145-0014	BUT WHEN I CAME I THOUGHT I HAD BEEN MISTAKEN
1462-170145-0015	I'VE BEEN UP IN CANADA WITH MY BRIDGE AND I ARRANGED NOT TO COME TO NEW YORK UNTIL AFTER YOU HAD GONE
1462-170145-0016	THEN WHEN YOUR MANAGER ADDED TWO MORE WEEKS I WAS ALREADY COMMITTED
1462-170145-0017	I'M GOING TO DO WHAT YOU ASKED ME TO DO WHEN YOU WERE IN LONDON
1462-170145-0018	ONLY I'LL DO IT MORE COMPLETELY
1462-170145-0019	THEN YOU DON'T KNOW WHAT YOU'RE TALKING ABOUT
1462-170145-0020	YES I KNOW VERY WELL
1462-170145-0021	ALEXANDER FLUSHED ANGRILY
1462-170145-0022	I DON'T KNOW WHAT I OUGHT TO SAY BUT I DON'T BELIEVE YOU'D BE HAPPY TRULY I DON'T AREN'T YOU TRYING TO FRIGHTEN ME
174-168635-0000	HE HAD NEVER BEEN FATHER LOVER HUSBAND FRIEND
174-168635-0001	THE HEART OF THAT EX CONVICT WAS FULL OF VIRGINITY
174-168635-0002	HIS SISTER AND HIS SISTER'S CHILDREN HAD LEFT HIM ONLY A VAGUE AND FAR OFF MEMORY WHICH HAD FINALLY ALMOST COMPLETELY VANISHED HE HAD MADE EVERY EFFORT TO FIND THEM AND NOT HAVING BEEN ABLE TO FIND THEM HE HAD FORGOTTEN THEM
174-168635-0003	HE SUFFERED ALL THE PANGS OF A MOTHER AND HE KNEW NOT WHAT IT MEANT FOR THAT GREAT AND SINGULAR MOVEMENT OF A HEART WHICH BEGINS TO LOVE IS A VERY OBSCURE AND A VERY SWEET THING
174-168635-0004	ONLY AS HE WAS FIVE AND FIFTY AND COSETTE EIGHT YEARS OF AGE ALL THAT MIGHT HAVE BEEN LOVE IN THE WHOLE COURSE OF HIS LIFE FLOWED TOGETHER INTO A SORT OF INEFFABLE LIGHT
174-168635-0005	COSETTE ON HER SIDE HAD ALSO UNKNOWN TO HERSELF BECOME ANOTHER BEING POOR LITTLE THING
174-168635-0006	SHE FELT THAT WHICH SHE HAD NEVER FELT BEFORE A SENSATION OF EXPANSION
174-168635-0007	THE MAN NO LONGER PRODUCED ON HER THE EFFECT OF BEING OLD OR POOR SHE THOUGHT JEAN VALJEAN HANDSOME JUST AS SHE THOUGHT THE HOVEL PRETTY
174-168635-0008	NATURE A DIFFERENCE OF FIFTY YEARS HAD SET A PROFOUND GULF BETWEEN JEAN VALJEAN AND COSETTE DESTINY FILLED IN THIS GULF
174-168635-0009	TO MEET WAS TO FIND EACH OTHER
174-168635-0010	WHEN THESE TWO SOULS PERCEIVED EACH OTHER THEY RECOGNIZED EACH OTHER AS NECESSARY TO EACH OTHER AND EMBRACED EACH OTHER CLOSELY
174-168635-0011	MOREOVER JEAN VALJEAN HAD CHOSEN HIS REFUGE WELL
174-168635-0012	HE HAD PAID HER SIX MONTHS IN ADVANCE AND HAD COMMISSIONED THE OLD WOMAN TO FURNISH THE CHAMBER AND DRESSING ROOM AS WE HAVE SEEN
174-168635-0013	WEEK FOLLOWED WEEK THESE TWO BEINGS LED A HAPPY LIFE IN THAT HOVEL
174-168635-0014	COSETTE WAS NO LONGER IN RAGS SHE WAS IN MOURNING
174-168635-0015	AND THEN HE TALKED OF HER MOTHER AND HE MADE HER PRAY
174-168635-0016	HE PASSED HOURS IN WATCHING HER DRESSING AND UNDRESSING HER DOLL AND IN LISTENING TO HER PRATTLE
174-168635-0017	THE BEST OF US ARE NOT EXEMPT FROM EGOTISTICAL THOUGHTS
174-168635-0018	HE HAD RETURNED TO PRISON THIS TIME FOR HAVING DONE RIGHT HE HAD QUAFFED FRESH BITTERNESS DISGUST AND LASSITUDE WERE OVERPOWERING HIM EVEN THE MEMORY OF THE BISHOP PROBABLY SUFFERED A TEMPORARY ECLIPSE THOUGH SURE TO REAPPEAR LATER ON LUMINOUS AND TRIUMPHANT BUT AFTER ALL THAT SACRED MEMORY WAS GROWING DIM
174-168635-0019	WHO KNOWS WHETHER JEAN VALJEAN HAD NOT BEEN ON THE EVE OF GROWING DISCOURAGED AND OF FALLING ONCE MORE
174-168635-0020	ALAS HE WALKED WITH NO LESS INDECISION THAN COSETTE
174-168635-0021	HE PROTECTED HER AND SHE STRENGTHENED HIM
174-168635-0022	HE WAS THAT CHILD'S STAY AND SHE WAS HIS PROP
174-50561-0000	FORGOTTEN TOO THE NAME OF GILLIAN THE LOVELY CAPTIVE
174-50561-0001	WORSE AND WORSE HE IS EVEN PRESUMED TO BE THE CAPTIVE'S SWEETHEART WHO WHEEDLES THE FLOWER THE RING AND THE PRISON KEY OUT OF THE STRICT VIRGINS FOR HIS OWN PURPOSES AND FLIES WITH HER AT LAST IN HIS SHALLOP ACROSS THE SEA TO LIVE WITH HER HAPPILY EVER AFTER
174-50561-0002	BUT THIS IS A FALLACY
174-50561-0003	THE WANDERING SINGER APPROACHES THEM WITH HIS LUTE
174-50561-0004	THE EMPEROR'S DAUGHTER
174-50561-0005	LADY LADY MY ROSE WHITE LADY BUT WILL YOU NOT HEAR A ROUNDEL LADY
174-50561-0006	O IF YOU PLAY US A ROUNDEL SINGER HOW CAN THAT HARM THE EMPEROR'S DAUGHTER
174-50561-0007	SHE WOULD NOT SPEAK THOUGH WE DANCED A WEEK WITH HER THOUGHTS A THOUSAND LEAGUES OVER THE WATER SINGER SINGER WANDERING SINGER O MY HONEY SWEET SINGER
174-50561-0008	BUT IF I PLAY YOU A ROUNDEL LADY GET ME A GIFT FROM THE EMPEROR'S DAUGHTER HER FINGER RING FOR MY FINGER BRING THOUGH SHE'S PLEDGED A THOUSAND LEAGUES OVER THE WATER LADY LADY MY FAIR LADY O MY ROSE WHITE LADY
174-50561-0009	THE WANDERING SINGER
174-50561-0010	BUT I DID ONCE HAVE THE LUCK TO HEAR AND SEE THE LADY PLAYED IN ENTIRETY THE CHILDREN HAD BEEN GRANTED LEAVE TO PLAY JUST ONE MORE GAME BEFORE BED TIME AND OF COURSE THEY CHOSE THE LONGEST AND PLAYED IT WITHOUT MISSING A SYLLABLE
174-50561-0011	THE LADIES IN YELLOW DRESSES STAND AGAIN IN A RING ABOUT THE EMPEROR'S DAUGHTER AND ARE FOR THE LAST TIME ACCOSTED BY THE SINGER WITH HIS LUTE
174-50561-0012	THE WANDERING SINGER
174-50561-0013	I'LL PLAY FOR YOU NOW NEATH THE APPLE BOUGH AND YOU SHALL DREAM ON THE LAWN SO SHADY LADY LADY MY FAIR LADY O MY APPLE GOLD LADY
174-50561-0014	THE LADIES
174-50561-0015	NOW YOU MAY PLAY A SERENA SINGER A DREAM OF NIGHT FOR AN APPLE GOLD LADY FOR THE FRUIT IS NOW ON THE APPLE BOUGH AND THE MOON IS UP AND THE LAWN IS SHADY SINGER SINGER WANDERING SINGER O MY HONEY SWEET SINGER
174-50561-0016	ONCE MORE THE SINGER PLAYS AND THE LADIES DANCE BUT ONE BY ONE THEY FALL ASLEEP TO THE DROWSY MUSIC AND THEN THE SINGER STEPS INTO THE RING AND UNLOCKS THE TOWER AND KISSES THE EMPEROR'S DAUGHTER
174-50561-0017	I DON'T KNOW WHAT BECOMES OF THE LADIES
174-50561-0018	BED TIME CHILDREN
174-50561-0019	YOU SEE THE TREATMENT IS A TRIFLE FANCIFUL
174-84280-0000	HOW WE MUST SIMPLIFY
